benchmark,structure,schema,model,runs,questions_per_run,success_rate_mean,success_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,runtime_s_mean,runtime_s_std,errors_mean
standard,flat,naive,gpt-4.1-mini,3,55,0.6187999999999999,0.01974411304667802,0.7766666666666667,0.013647466187293986,0.7898999999999999,0.006908690179766328,0.7689333333333334,0.01176194428371999,3.016666666666666,0.4895807730429508,4.333333333333333
standard,flat,naive,gpt-5-mini,3,55,0.7531,0.01073871500692701,0.8386666666666667,0.008357830659527256,0.8525,0.010157263410978386,0.8392666666666666,0.008320056089554531,7.623333333333334,1.3110966147974505,1
standard,flat,technical,gpt-4.1-mini,3,55,0.6096666666666667,0.02344553973218216,0.7472,0.01150000000000001,0.7572333333333333,0.007421814692737423,0.7368,0.009401595609256937,2.439,0.23769097584889495,0.3333333333333333
standard,flat,technical,gpt-5-mini,3,55,0.7407333333333334,0.018550022461801326,0.8508333333333334,0.008936628745412543,0.8423666666666666,0.007595612768785204,0.8403666666666667,0.008695017730478389,9.518,2.4554924149750494,1
standard,structured,naive,gpt-4.1-mini,3,55,0.5500666666666666,0.014710993621551606,0.6847333333333333,0.0227456222894282,0.7044,0.020611647192788837,0.6769,0.02211877030940015,2.2383333333333333,0.48206465679754346,1.6666666666666667
standard,structured,naive,gpt-5-mini,3,55,0.6374000000000001,0.013235180391668233,0.7874333333333333,0.005472050194701539,0.7842333333333333,0.008746046725997604,0.7792,0.006872408602520682,8.161,1.767565557482947,1.6666666666666667
standard,structured,technical,gpt-4.1-mini,3,55,0.5,0.009099999999999997,0.6312000000000001,0.01544053107894936,0.6806000000000001,0.014749915253993821,0.6302666666666666,0.015127899171178186,2.3196666666666665,0.25665606038691813,0.3333333333333333
standard,structured,technical,gpt-5-mini,3,55,0.6526333333333333,0.033538982294239864,0.7589666666666667,0.024193663082165428,0.7923333333333332,0.021993256542252537,0.7581333333333333,0.022697209813836924,9.868,3.357186917643997,0.3333333333333333
complex,flat,naive,gpt-4.1-mini,3,5,0.6,0,0.658,0.025114736709748776,0.6740999999999998,0.03204293994002423,0.6650666666666667,0.028174693136453714,6.381333333333333,1.537779026171619,0
complex,flat,naive,gpt-5-mini,3,5,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.05773502691896257,0.5666666666666667,0.05773502691896257,29.07466666666667,5.913946595407616,0.3333333333333333
complex,flat,technical,gpt-4.1-mini,3,5,1,0,1,0,1,0,1,0,10.243666666666668,0.4985040956033689,0
complex,flat,technical,gpt-5-mini,3,5,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.04809327742349585,0.7222333333333334,0.04809327742349585,28.52733333333333,6.1360487557819585,1.3333333333333333
complex,structured,naive,gpt-4.1-mini,3,5,0.4666666666666666,0.05773502691896257,0.5471333333333334,0.08163732806341308,0.5206666666666667,0.03579571668975683,0.5281,0.04867062769268547,3.010666666666667,0.20872070652748687,0.6666666666666666
complex,structured,naive,gpt-5-mini,3,5,0.4000000000000001,6.798699777552591e-17,0.5778,0,0.4842,0,0.5143,0,22.795,5.40341669686875,0
complex,structured,technical,gpt-4.1-mini,3,5,0.5,0,0.5784333333333334,0.002020725942163724,0.5972,0,0.5868000000000001,0.0012124355652982088,15.224333333333334,0.42112033118021436,1
complex,structured,technical,gpt-5-mini,3,5,0.5611,0.2110559878326128,0.5611,0.2110559878326128,0.5611,0.2110559878326128,0.5611,0.2110559878326128,22.218666666666667,3.396090742800217,1
